UMESH PATEL,Indian National Congress,94201
OP CHOUDHARY,Bharatiya Janata Party,77234
VIJAY SHARMA,Independent,1252
NARAYAN SIDAR,Bahujan Samaj Party,965
AMAR AGRAWAL,Aam Aadmi Party,600
RAMESH KUMAR AGRAWAL,Independent,333
DHANMATI RATHIA,Ambedkarite Party of India,306
SAKRAMATI SITRAM SIDAR,Gondvana Gantantra Party,235
BHOGILAL YADAV (ADVOCATE),Independent,201
UMMED SINGH RATHIA,Independent,156
STAR RAMKUMAR,Sunder Samaj Party,155
None of the Above,None of the Above,2368
